name,platform,language,type,with,num_season,num_episodes,startdate,enddate,num_days,unitpday,,,,,,,,,,,,,,,,,,,,
Fleishman is in Trouble,Hulu,English,Series,Myself,Season 1,8,2022-12-31,2022-12-31,1,8,,,,,,,,,,,,,,,,,,,,
Strange World,Disney Plus,English,Movie,Michi,,1,2022-12-31,2022-12-31,1,1,,,,,,,,,,,,,,,,,,,,
Tara vs Bilal,Netflix,Hindi,Movie,Myself,,1,2023-01-01,2023-01-01,1,1,,,,,,,,,,,,,,,,,,,,
Mili,Netflix,Hindi,Movie,Myself,,1,2023-01-01,2023-01-01,1,1,,,,,,,,,,,,,,,,,,,,
Zakir Khan: Tathastu,Prime,Hindi,Special,Myself,,1,2023-01-02,2023-01-02,1,1,,,,,,,,,,,,,,,,,,,,
Dobaaraa,Netflix,Hindi,Movie,Myself,,1,2023-01-02,2023-01-02,1,1,,,,,,,,,,,,,,,,,,,,
Double XL,Netflix,Hindi,Movie,Myself,,1,2023-01-02,2023-01-02,1,1,,,,,,,,,,,,,,,,,,,,
Avatar: The Way of Water,Theatre,English,Movie,Michi,,1,2023-01-03,2023-01-03,1,1,,,,,,,,,,,,,,,,,,,,
Kaleidoscope,Netflix,English,Series,Myself,,8,2023-01-04,2023-01-05,2,4,,,,,,,,,,,,,,,,,,,,
The Menu,HBOMax,English,Movie,Myself,,1,2023-01-08,2023-01-08,1,1,,,,,,,,,,,,,,,,,,,,
Dune,HBOMax,English,Movie,Myself,,1,2023-01-10,2023-01-10,1,1,,,,,,,,,,,,,,,,,,,,
The White Lotus,HBOMax,English,Series,Myself,2,13,2023-01-12,2023-01-14,3,4.33,,,,,,,,,,,,,,,,,,,,
Ginny & Georgia,Netflix,English,Series,Myself,Season 2,10,2023-01-15,2023-01-17,3,3.33,,,,,,,,,,,,,,,,,,,,
Inside Out,Disney Plus,English,Movie,Michi,,1,2023-01-27,2023-01-27,1,1,,,,,,,,,,,,,,,,,,,,
Trial by Fire,Netflix,Hindi,Series,Myself,1,7,2023-01-29,2023-01-30,2,3.5,,,,,,,,,,,,,,,,,,,,
Pathaan,Theatre,Hindi,Movie,Michi,,1,2023-01-31,2023-01-31,1,1,,,,,,,,,,,,,,,,,,,,
Drishyam 2,Tutun,Hindi,Movie,Myself,,1,2023-02-10,2023-02-12,3,0.33,,,,,,,,,,,,,,,,,,,,
Class,Netflix,Hindi,Show,Myself,1,8,2023-02-12,2023-02-14,3,2.67,,,,,,,,,,,,,,,,,,,,
Perfume: The Story of a Murderer,Downloaded,English,Movie,Michi,,1,2023-02-14,2023-02-14,1,1,,,,,,,,,,,,,,,,,,,,
You,Netflix,English,Series,Myself,Season 4 Part 1,5,2023-02-15,2023-02-15,1,5,,,,,,,,,,,,,,,,,,,,
Cirkus,Netflix,Hindi,Movie,Myself,,1,2023-02-19,2023-02-20,2,0.5,,,,,,,,,,,,,,,,,,,,
Midnight Mass,Netflix,English,Series,Myself,1,7,2023-02-20,2023-02-22,3,2.33,,,,,,,,,,,,,,,,,,,,
Only Murders in the Building,Hulu,English,Series,Myself,2,20,2023-02-27,2023-03-06,8,2.5,,,,,,,,,,,,,,,,,,,,
The Night Manager,Prime,English,Series,Michi,1,6,2023-03-04,2023-03-11,8,0.75,,,,,,,,,,,,,,,,,,,,
The Romantics,Netflix,Hindi,Series,Myself,1,4,2023-03-06,2023-03-08,3,1.33,,,,,,,,,,,,,,,,,,,,
The Big Bang Theory,HBOMax,English,Series,Myself,12,279,2023-03-08,,-44992,-0.01,,,,,,,,,,,,,,,,,,,,
Band Baaja Baaraat,Prime,Hindi,Movie,Michi,,1,2023-03-10,2023-03-10,1,1,,,,,,,,,,,,,,,,,,,,
The Last of Us,HBOMax,English,Series,Michi,1,9,2023-03-12,,,,,,,,,,,,,,,,,,,,,,,
You,Netflix,English,Series,Myself,Season 4 Part 2,5,2023-03-14,2023-03-15,2,2.5,,,,,,,,,,,,,,,,,,,,
She Said,Flight,English,Movie,Myself,,1,2023-03-18,2023-03-18,1,1,,,,,,,,,,,,,,,,,,,,
Shadow and Bone,Netflix,English,Series,Michi,Season 2,8,2023-03-22,2023-03-28,7,1.14,,,,,,,,,,,,,,,,,,,,
Detachment,YouTube,English,Movie,Myself,,1,2023-03-23,2023-03-23,1,1,,,,,,,,,,,,,,,,,,,,
The Elephant Whisperers,Netflix,Tamil,Documentary,Myself,,1,2023-03-28,2023-03-28,1,1,,,,,,,,,,,,,,,,,,,,
Abbott Elementary,HBOMax,English,Series,Michi,1,13,2023-03-29,2023-04-12,15,0.87,,,,,,,,,,,,,,,,,,,,
Gaslight,Hulu,Hindi,Movie,Myself,,1,2023-04-01,2023-04-01,1,1,,,,,,,,,,,,,,,,,,,,
Jury Duty,Freevee,English,Series,Myself,1,8,2023-04-11,2023-04-23,13,0.62,,,,,,,,,,,,,,,,,,,,
Abbott Elementary,Hulu,English,Series,Michi,Season 2,22,2023-04-14,,-45029,0,,,,,,,,,,,,,,,,,,,,
The Truman Show,Showtime,English,Movie,Michi,,1,2023-04-16,2023-04-16,1,1,,,,,,,,,,,,,,,,,,,,
Shehzada,Netflix,Hindi,Movie,Myself,,1,2023-04-18,2023-04-18,1,1,,,,,,,,,,,,,,,,,,,,
Chennai Express,Netflix,Hindi,Movie,Myself,,1,2023-04-18,2023-04-19,2,0.5,,,,,,,,,,,,,,,,,,,,
Crazy Rich Asians,HBOMax,English,Movie,Myself,,1,2023-04-19,2023-04-19,1,1,,,,,,,,,,,,,,,,,,,,
Modern Family,Hulu,English,Series,Myself,11,251,2023-04-19,,-45034,-0.01,,,,,,,,,,,,,,,,,,,,
The Rookie,Hulu,English,Series,Myself,5,98,2023-04-19,,-45034,0,,,,,,,,,,,,,,,,,,,,
Indian Matchmaking,Netflix,Hindi,Series,Myself,season 3,8,2023-04-22,2023-04-23,2,4,,,,,,,,,,,,,,,,,,,,
The Hangover,Netflix,English,Movie,Michi,,1,2023-04-29,2023-04-29,,,,,,,,,,,,,,,,,,,,,,
Tu Jhoothi Main Makkar,Netflix,Hindi,Movie,Myself,,1,2023-05-03,2023-05-04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
